"pred","se"
3303.58330818639,1906.02594245699
3295.51263056862,1906.02622271654
3303.79042636295,1906.02756584809
3314.59126673307,1906.03016906703
3309.96808398077,1906.03380312377
3318.03458042771,1906.03802890799
3340.59527096399,1906.04236621859
3362.49260877309,1906.04640528197
3358.70914767345,1906.0498639609
3325.18574493388,1906.05260118381
3281.43902272837,1906.05460037605
3257.82080786169,1906.05593658103
3240.02029359759,1906.05673870292
3220.17059873473,1906.05715500599
3199.76354934117,1906.05732656224
3172.04541247438,1906.08691951208
3163.6950696021,1906.13782699898
3161.66104611319,1906.18830784387
3164.54943942652,1906.22547994595
3180.86803712393,1906.2505589646
3239.98984529924,1906.26579377079
3307.1844847825,1906.27383647673
3333.77386686283,1906.27724948229
3318.58302821646,1906.2781849075
3292.37826737908,1906.27823075464
3286.24611580642,1906.27839256685
3292.53560217498,1906.27916791298
3300.74209610815,1906.2806705996
3297.22934766318,1906.28276828407
3303.35828437161,1906.2852074992
3320.49996989502,1906.28771106647
3337.13765413007,1906.29004246296
3334.26293282044,1906.2920388409
3308.79163109358,1906.29361877778
3275.55264620624,1906.29477271164
3257.60740986455,1906.29554396246
3244.08248518211,1906.29600693794
3229.00055919857,1906.29624721926
3213.49518915185,1906.29634623502
3192.43479562257,1906.31342829819
3186.09016751989,1906.34281401868
3184.54471215998,1906.37195375983
3186.73933678169,1906.39341130821
3199.13831053357,1906.4078882275
3244.05942140987,1906.41668258334
3295.11431835958,1906.42132527416
3315.31709106618,1906.42329544559
3303.77499886065,1906.42383542064
3283.86445999738,1906.42386188484
3279.20521310724,1906.42395529475
3283.98400089103,1906.42440287453
3290.21934136709,1906.42527031872
3287.5503311942,1906.42648123067
3292.20713228293,1906.42788929393
3305.23148554219,1906.42933450457
3317.87289726196,1906.43068032746
3315.68866422163,1906.43183275715
3296.33540986472,1906.43274479167
3271.08022717939,1906.43341091137
3257.44532815868,1906.43385612323
3247.16900806926,1906.43412337996
3235.70966656089,1906.4342620843
3223.92859322944,1906.43431924179
3207.92677707363,1906.44418011172
3203.1060905695,1906.46114352963
3201.93184476408,1906.47796505885
3203.59933469591,1906.49035194901
3213.02015223682,1906.49870913426
3247.15149117864,1906.50378592169
3285.94331882147,1906.50646604813
3301.29351068807,1906.50760338661
3292.52375723561,1906.50791510271
3277.39560591725,1906.50793037986
3273.85548105336,1906.50798430365
3277.48643339442,1906.50824268263
3282.22408339466,1906.50874344091
3280.19615260806,1906.50944247629
3283.7344187265,1906.51025532332
3293.63040280105,1906.51108961497
3303.2354256934,1906.5118665322
3301.57583164272,1906.51253180745
3286.87110842398,1906.51305830733
3267.68206388084,1906.51344284538
3257.32218304983,1906.5136998576
3249.51417126706,1906.51385413975
3240.80729223613,1906.51393421108
3231.85595971786,1906.51396720698
3219.69768038585,1906.5196597095
3216.03489292189,1906.52945241373
3215.1426937397,1906.53916324414
3216.40966302991,1906.54631404334
3223.5676588686,1906.55113855452
3249.5008626262,1906.55406933241
3278.97513469833,1906.55561654351
3290.63830599028,1906.55627311827
3283.97499272539,1906.55645306905
3272.48052917434,1906.55646188839
3269.79072025461,1906.55649301812
3272.54954041134,1906.55664217794
3276.14923632489,1906.55693126113
3274.60840186117,1906.55733480792
3277.29679845043,1906.5578040572
3284.81582869797,1906.55828568636
3292.11378484594,1906.55873419384
3290.85281493269,1906.55911825146
3279.68007467185,1906.55942219529
3265.1001192055,1906.5596441858
3257.22861728161,1906.55979255676
3251.29604133551,1906.55988162253
3244.68050043785,1906.55992784702
3237.87922229373,1906.55994689527
3228.64128598112,1906.5632331311
3225.858277277,1906.56888638998
3225.18037879277,1906.57449239581
3226.14302995358,1906.57862051823
3231.58171975908,1906.58140568932
3251.28592942577,1906.58309761717
3273.68066484266,1906.58399081719
3282.54241499911,1906.58436985578
3277.47958809651,1906.58447374082
3268.74602312803,1906.5844788322
3266.70228956395,1906.5844968033
3268.79845829183,1906.58458291282
3271.53352965344,1906.58474979969
3270.36279403243,1906.58498276608
3272.40545449525,1906.58525366236
3278.11846048401,1906.58553170553
3283.66349299725,1906.58579062768
3282.7054002044,1906.58601234311
3274.21628259277,1906.58618780909
3263.1383416604,1906.58631596363
3257.1575254943,1906.5864016178
3252.64991735645,1906.58645303524
3247.62338819435,1906.58647972052
3242.45573471946,1906.58649071703
3235.43669319641,1906.58838785332
3233.32214585765,1906.59165146976
3232.80707436962,1906.59488781112
3233.53850271552,1906.5972709745
3237.67085309074,1906.59887885386
3252.6422342716,1906.59985560435
3269.65789366831,1906.60037124915
3276.39110660918,1906.60059006834
3272.54433920797,1906.60065004124
3265.90852217058,1906.60065298049
3264.35568068446,1906.60066335522
3265.94836273415,1906.6007130663
3268.02648698256,1906.60080941019
3267.1369547686,1906.60094390184
3268.68898090536,1906.60110029045
3273.02975842373,1906.60126080497
3277.24290864978,1906.60141028092
3276.51494378058,1906.60153827741
3270.06485936665,1906.60163957406
3261.64777087635,1906.60171355779
3257.10350951759,1906.60176300602
3253.67860079064,1906.60179268935
3249.8594126385,1906.60180809478
3245.93299735521,1906.60181444307
3240.59988590622,1906.60290966172
